year,monthly_fee_for_interest_accounts,monthly_fee_for_non_interest_accounts,annual_overdraft_fee,average_annual_cost_of_maintaining_non_interest_accounts,average_annual_cost_of_maintaining_interest_accounts,average_annual_cost_of_using_non_interest_accounts,average_annual_cost_of_using_interest_accounts
1998,9.29,5.37,21.57,64.44,111.47999999999999,86.00999999999999,133.04999999999998
1999,9.37,5.08,22.62,60.96,112.44,83.58,135.06
2000,10.05,4.91,23.74,58.92,120.60000000000001,82.66,144.34
2001,10.4,4.72,24.7,56.64,124.80000000000001,81.34,149.5
2002,10.51,4.33,25.3,51.96,126.12,77.26,151.42000000000002
2003,10.86,3.72,25.8,44.64,130.32,70.44,156.12
2004,10.61,3.34,25.81,40.08,127.32,65.89,153.13
2005,10.81,3,26.9,36,129.72,62.9,156.62
2006,10.74,2.52,27.4,30.240000000000002,128.88,57.64,156.28
2007,11.72,2.26,28.23,27.119999999999997,140.64000000000001,55.349999999999994,168.87
2008,11.97,1.93,28.95,23.16,143.64000000000001,52.11,172.59
2009,12.55,1.77,29.58,21.240000000000002,150.60000000000002,50.82,180.18
2010,13.04,2.49,30.47,29.880000000000003,156.48,60.35,186.95
2011,14.15,4.37,30.83,52.44,169.8,83.27,200.63
2012,14.75,5.48,31.26,65.76,177,97.02000000000001,208.26
2013,14.64,5.54,32.2,66.48,175.68,98.68,207.88
2014,14.76,5.26,32.74,63.12,177.12,95.86,209.86
2015,15.24,5.86,33.07,70.32000000000001,182.88,103.39000000000001,215.95
2016,15.17,5.78,33.04,69.36,182.04,102.4,215.07999999999998
2017,14.69,5.84,33.38,70.08,176.28,103.46000000000001,209.66
2018,14.35,5.57,33.23,66.84,172.2,100.07,205.42999999999998
2019,15.05,5.61,33.36,67.32000000000001,180.60000000000002,100.68,213.96000000000004
2020,15.5,5.27,33.47,63.239999999999995,186,96.71,219.47
2021,16.35,5.08,33.58,60.96,196.20000000000002,94.53999999999999,229.78000000000003
